Pašvaldība;Iestādes reģistrācijas Nr.;Iestādes nosaukums;Iestādes veids;Iestādes tips;Pakļautība;Faktiskais dibinātājs;Adreses ATVK kods; Izglītības programmas otrais klasifikācijas līmenis;Izglītības programmas kods;Izglītības programmas nosaukums;1.kursā;2.kursā;3.kursā;4.kursā;Izglītojamo skaits kopā (1.-4.kurss)
VENTSPILS;3236003579;Ventspils tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;007000;33;33484011;Programmēšana;30;26;19;20;95
VENTSPILS;3236003579;Ventspils tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;007000;33;33521031;Inženiertehnika, mehānika un mašīnbūves tehnoloģija;19;19;15;14;67
VENTSPILS;3236003579;Ventspils tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;007000;33;33521061;Mehatronika;30;23;18;;71
VENTSPILS;3236003579;Ventspils tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;007000;33;33522011;Enerģētika un elektrotehnika;23;14;9;19;65
VENTSPILS;3236003579;Ventspils tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;007000;33;33525011;Autotransports;31;21;23;18;93
VENTSPILS;3236003579;Ventspils tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;007000;33;33582031;Siltuma, gāzes un ūdens tehnoloģija;18;;14;19;51
VENTSPILS;3236003579;Ventspils tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;007000;33;33811021;Ēdināšanas pakalpojumi;40;33;19;24;116
VENTSPILS;3236003579;Ventspils tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;007000;33;33811031;Viesnīcu pakalpojumi;23;21;17;13;74
VENTSPILS;3236003579;Ventspils tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;007000;33;33812011;Tūrisma pakalpojumi;16;17;19;17;69
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;33;33212011;Taustiņinstrumentu spēle;2;;4;4;10
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;33;33212021;Stīgu instrumentu spēle;5;2;4;4;15
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;33;33212031;Pūšaminstrumentu spēle;5;4;1;3;13
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;33;33212041;Sitaminstrumentu spēle;;;;3;3
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;33;33212051;Diriģēšana;;1;3;;4
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;33;33212061;Vokālā mūzika;1;3;1;2;7
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;33;33212071;Mūzikas vēsture un teorija;1;1;;;2
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;33;33212091;Mūzika;10;16;10;8;44
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;35b;35b212011;Taustiņinstrumentu spēle;1;;;;1
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;35b;35b212021;Stīgu instrumentu spēle;;1;;;1
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;35b;35b212031;Pūšaminstrumentu spēle;1;2;;;3
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;35b;35b212071;Mūzikas vēsture un teorija;1;;;;1
VENTSPILS;3237303588;"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;007000;35b;35b212091;Mūzika;2;1;2;;5
